Active (0/1),Name *,Parent category,URL Simplifier,Root category (0/1)
1,Ordinateurs portables,INFORMATIQUE,es,0
1,Ordinateur de bureau,INFORMATIQUE,au,0
1,Tablettes Tactiles,INFORMATIQUE,es,0
1,Serveurs,INFORMATIQUE,rs,0
1,Stockage,INFORMATIQUE,ge,0
1,Périphériques & Accessoires,INFORMATIQUE,es,0
1,Sacs Scolaires & Trousses,INFORMATIQUE,es,0
1,Composants Informatique,INFORMATIQUE,ue,0
1,Gaming PC Pc Portable GamerOrdinateur Gamer,GAMING,er,0
1,Périphériques et Accessoires Gamers,GAMING,rs,0
1,Console de Jeux,GAMING,ux,0
1,Composant Pc Gamer,GAMING,er,0
1,Accessoires de Jeux,GAMING,ux,0
1,Smartphone & Mobile,TELEPHONIE & MONTRE CONNECTÉE,le,0
1,Smartwatch,TELEPHONIE & MONTRE CONNECTÉE,ch,0
1,Accessoires Téléphonie Casque Écouteur,TELEPHONIE & MONTRE CONNECTÉE,ur,0
1,Téléphone Fixe,TELEPHONIE & MONTRE CONNECTÉE,xe,0
1,Lunette Connectée,TELEPHONIE & MONTRE CONNECTÉE,ée,0
1,Gros Electroménager,ÉLECTROMENAGER,er,0
1,Préparation culinaire,ÉLECTROMENAGER,re,0
1,Café et Petit déjeuner,ÉLECTROMENAGER,er,0
1,Rangement & Conservation,ÉLECTROMENAGER,on,0
1,Appareil de cuisson,ÉLECTROMENAGER,on,0
1,Cuisine,ÉLECTROMENAGER,ne,0
1,Hygiene et soin maison,ÉLECTROMENAGER,on,0
1,Entretien du linge,ÉLECTROMENAGER,ge,0
1,Fontaine,ÉLECTROMENAGER,ne,0
1,Réfrigérateur Professionnel,ÉLECTROMENAGER,el,0
1,Glacière,ÉLECTROMENAGER,re,0
1,Pack Électroménager,ÉLECTROMENAGER,er,0
1,Téléviseurs,TV | PHOTO & SON,rs,0
1,Récepteurs Numériques & Abonnement,TV | PHOTO & SON,nt,0
1,Son Numérique,TV | PHOTO & SON,ue,0
1,Home Cinéma,TV | PHOTO & SON,ma,0
1,Accessoires Téléviseurs,TV | PHOTO & SON,rs,0
1,Photos & Caméscopes,TV | PHOTO & SON,es,0
1,Projection,TV | PHOTO & SON,on,0
1,Accessoires Appareil Photo,TV | PHOTO & SON,to,0
1,Lecteur enregistreur,TV | PHOTO & SON,ur,0
1,Accessoires projection,TV | PHOTO & SON,on,0
1,Piles et Chargeurs,TV | PHOTO & SON,rs,0
1,Affichage et Contrôle,TV | PHOTO & SON,le,0
1,Instruments de musique,TV | PHOTO & SON,ue,0
1,Bricolage & jardin,MAISON | BRICO & ANIMALERIE,in,0
1,Quincaillerie,MAISON | BRICO & ANIMALERIE,ie,0
1,Décoration,MAISON | BRICO & ANIMALERIE,on,0
1,Luminaire & Eclairage,MAISON | BRICO & ANIMALERIE,ge,0
