Active (0/1),Name *,Parent category,URL Simplifier,Root category (0/1)
1,Pc Portable,Ordinateurs portables,Pc Portable1,0
1,PC Gamer,Ordinateurs portables,PC Gamer1,0
1,PC Portable Pro,Ordinateurs portables,PC Portable Pro1,0
1,Mac,Ordinateurs portables,Mac1,0
1,UltraBook,Ordinateurs portables,UltraBook1,0
1,Ecran Portable,Ordinateurs portables,Ecran Portable1,0
1,PC de Bureau,Ordinateur de bureau,PC de Bureau1,0
1,Ordinateur Gamer,Ordinateur de bureau,Ordinateur Gamer1,0
1,PC Tout en un,Ordinateur de bureau,PC Tout en un1,0
1,Ecran,Ordinateur de bureau,Ecran1,0
1,iMac,Ordinateur de bureau,iMac1,0
1,Tablettes Android,Tablettes Tactiles,Tablettes Android1,0
1,Tablette Graphique,Tablettes Tactiles,Tablette Graphique1,0
1,iPad,Tablettes Tactiles,iPad1,0
1,Accessoires Tablette,Tablettes Tactiles,Accessoires Tablette1,0
1,Serveur Rack,Serveurs,Serveur Rack1,0
1,Serveur Tour,Serveurs,Serveur Tour1,0
1,Station de Travail,Serveurs,Station de Travail1,0
1,Disque Dur,Stockage,Disque Dur1,0
1,Disque Dur Interne,Stockage,Disque Dur Interne1,0
1,Disque Dur Externe,Stockage,Disque Dur Externe1,0
1,Disque Dur SSD,Stockage,Disque Dur SSD1,0
1,Disque Dur Vidéosurveillance,Stockage,Disque Dur Vidéosurveillance1,0
1,Clé USB,Stockage,Clé USB1,0
1,Carte Mémoire,Stockage,Carte Mémoire1,0
1,CD & DVD,Stockage,CD & DVD1,0
1,Accessoires de Stockage,Stockage,Accessoires de Stockage1,0
1,Disque Dur Reconditionné,Stockage,Disque Dur Reconditionné1,0
1,Câble antivol PC,Périphériques & Accessoires,Câble antivol PC1,0
1,Sacs & Sacoches,Périphériques & Accessoires,Sacs & Sacoches1,0
1,Clavier & Souris & Tapis Souris Clavier Tapis de Souris Clavier & Souris Souris & Tapis Clavier - Souris - Tapis - Casque Pavé Numérique,Périphériques & Accessoires,Clavier & Souris & Tapis Souris Clavier Tapis de Souris Clavier & Souris Souris & Tapis Clavier - Souris - Tapis - Casque Pavé Numérique1,0
1,Souris,Périphériques & Accessoires,Souris1,0
1,Clavier,Périphériques & Accessoires,Clavier1,0
1,Tapis de Souris,Périphériques & Accessoires,Tapis de Souris1,0
1,Clavier & Souris,Périphériques & Accessoires,Clavier & Souris1,0
1,Souris & Tapis,Périphériques & Accessoires,Souris & Tapis1,0
1,Clavier - Souris - Tapis - Casque,Périphériques & Accessoires,Clavier - Souris - Tapis - Casque1,0
1,Pavé Numérique,Périphériques & Accessoires,Pavé Numérique1,0
1,Webcam,Périphériques & Accessoires,Webcam1,0
1,Visioconférence,Périphériques & Accessoires,Visioconférence1,0
1,Haut-Parleur de Conférence,Périphériques & Accessoires,Haut-Parleur de Conférence1,0
1,Refroidisseurs PC Portable,Périphériques & Accessoires,Refroidisseurs PC Portable1,0
1,Hub USB,Périphériques & Accessoires,Hub USB1,0
1,Lampe de Bureau,Périphériques & Accessoires,Lampe de Bureau1,0
1,Support Ecran,Périphériques & Accessoires,Support Ecran1,0
1,Accessoires Divers,Périphériques & Accessoires,Accessoires Divers1,0
1,Station d'accueil,Périphériques & Accessoires,Station d'accueil1,0
1,Accessoires Visioconférence,Périphériques & Accessoires,Accessoires Visioconférence1,0
1,Sac à Dos Scolaire,Sacs Scolaires & Trousses,Sac à Dos Scolaire1,0
1,Sac à Goûter,Sacs Scolaires & Trousses,Sac à Goûter1,0
1,Trousse,Sacs Scolaires & Trousses,Trousse1,0
1,Accessoires sac à dos,Sacs Scolaires & Trousses,Accessoires sac à dos1,0
1,Processeur,Composants Informatique,Processeur1,0
1,Carte Graphique,Composants Informatique,Carte Graphique1,0
1,Barrettes Mémoire,Composants Informatique,Barrettes Mémoire1,0
1,Carte Mère,Composants Informatique,Carte Mère1,0
1,Boîtier,Composants Informatique,Boîtier1,0
1,Bloc d'alimentation,Composants Informatique,Bloc d'alimentation1,0
1,Chargeur PC Portable,Composants Informatique,Chargeur PC Portable1,0
1,Batterie PC Portable,Composants Informatique,Batterie PC Portable1,0
1,Afficheur Ecran,Composants Informatique,Afficheur Ecran1,0
1,Ventilateur,Composants Informatique,Ventilateur1,0
1,Graveurs et Lecteurs,Composants Informatique,Graveurs et Lecteurs1,0
1,Clavier PC Portable,Composants Informatique,Clavier PC Portable1,0
1,Pâte thermique,Composants Informatique,Pâte thermique1,0
1,Pc Portable,Gaming PC Pc Portable GamerOrdinateur Gamer,Pc Portable1,0
1,PC Gamer,Gaming PC Pc Portable GamerOrdinateur Gamer,PC Gamer1,0
1,PC Portable Pro,Gaming PC Pc Portable GamerOrdinateur Gamer,PC Portable Pro1,0
1,Mac,Gaming PC Pc Portable GamerOrdinateur Gamer,Mac1,0
1,UltraBook,Gaming PC Pc Portable GamerOrdinateur Gamer,UltraBook1,0
1,Ecran Portable,Gaming PC Pc Portable GamerOrdinateur Gamer,Ecran Portable1,0
1,PC de Bureau,Périphériques et Accessoires Gamers,PC de Bureau1,0
1,Ordinateur Gamer,Périphériques et Accessoires Gamers,Ordinateur Gamer1,0
1,PC Tout en un,Périphériques et Accessoires Gamers,PC Tout en un1,0
1,Ecran,Périphériques et Accessoires Gamers,Ecran1,0
1,iMac,Périphériques et Accessoires Gamers,iMac1,0
1,Tablettes Android,Console de Jeux,Tablettes Android1,0
1,Tablette Graphique,Console de Jeux,Tablette Graphique1,0
1,iPad,Console de Jeux,iPad1,0
1,Accessoires Tablette,Console de Jeux,Accessoires Tablette1,0
1,Serveur Rack,Composant Pc Gamer,Serveur Rack1,0
1,Serveur Tour,Composant Pc Gamer,Serveur Tour1,0
1,Station de Travail,Composant Pc Gamer,Station de Travail1,0
1,Disque Dur,Accessoires de Jeux,Disque Dur1,0
1,Disque Dur Interne,Accessoires de Jeux,Disque Dur Interne1,0
1,Disque Dur Externe,Accessoires de Jeux,Disque Dur Externe1,0
1,Disque Dur SSD,Accessoires de Jeux,Disque Dur SSD1,0
1,Disque Dur Vidéosurveillance,Accessoires de Jeux,Disque Dur Vidéosurveillance1,0
1,Clé USB,Accessoires de Jeux,Clé USB1,0
1,Carte Mémoire,Accessoires de Jeux,Carte Mémoire1,0
1,CD & DVD,Accessoires de Jeux,CD & DVD1,0
1,Accessoires de Stockage,Accessoires de Jeux,Accessoires de Stockage1,0
1,Disque Dur Reconditionné,Accessoires de Jeux,Disque Dur Reconditionné1,0
1,Câble antivol PC,Smartphone & Mobile,Câble antivol PC1,0
1,Sacs & Sacoches,Smartphone & Mobile,Sacs & Sacoches1,0
1,Clavier & Souris & Tapis Souris Clavier Tapis de Souris Clavier & Souris Souris & Tapis Clavier - Souris - Tapis - Casque Pavé Numérique,Smartphone & Mobile,Clavier & Souris & Tapis Souris Clavier Tapis de Souris Clavier & Souris Souris & Tapis Clavier - Souris - Tapis - Casque Pavé Numérique1,0
1,Souris,Smartphone & Mobile,Souris1,0
1,Clavier,Smartphone & Mobile,Clavier1,0
1,Tapis de Souris,Smartphone & Mobile,Tapis de Souris1,0
1,Clavier & Souris,Smartphone & Mobile,Clavier & Souris1,0
1,Souris & Tapis,Smartphone & Mobile,Souris & Tapis1,0
1,Clavier - Souris - Tapis - Casque,Smartphone & Mobile,Clavier - Souris - Tapis - Casque1,0
1,Pavé Numérique,Smartphone & Mobile,Pavé Numérique1,0
1,Webcam,Smartphone & Mobile,Webcam1,0
1,Visioconférence,Smartphone & Mobile,Visioconférence1,0
1,Haut-Parleur de Conférence,Smartphone & Mobile,Haut-Parleur de Conférence1,0
1,Refroidisseurs PC Portable,Smartphone & Mobile,Refroidisseurs PC Portable1,0
1,Hub USB,Smartphone & Mobile,Hub USB1,0
1,Lampe de Bureau,Smartphone & Mobile,Lampe de Bureau1,0
1,Support Ecran,Smartphone & Mobile,Support Ecran1,0
1,Accessoires Divers,Smartphone & Mobile,Accessoires Divers1,0
1,Station d'accueil,Smartphone & Mobile,Station d'accueil1,0
1,Accessoires Visioconférence,Smartphone & Mobile,Accessoires Visioconférence1,0
1,Sac à Dos Scolaire,Smartwatch,Sac à Dos Scolaire1,0
1,Sac à Goûter,Smartwatch,Sac à Goûter1,0
1,Trousse,Smartwatch,Trousse1,0
1,Accessoires sac à dos,Smartwatch,Accessoires sac à dos1,0
1,Processeur,Accessoires Téléphonie Casque Écouteur,Processeur1,0
1,Carte Graphique,Accessoires Téléphonie Casque Écouteur,Carte Graphique1,0
